Category,Subcategory,Business Name,Business Area,Business Address,Area
Business Services,Digital Marketing Services,PrimisDigital,Hadapsar,"Pentagon 3, Magarpatta, Hadapsar, Pune, Maharashtra 411028",Hadapsar
Business Services,Digital Marketing Services,Segmetiq Technologies,Bhosari,"Office No. A-405, Utsav Business Plaza, Pune - Nashik Hwy, near Pritam Hospital, Khandoba Mal, Bhosari, Pune, Pimpri-Chinchwad, Maharashtra",Bhosari
Business Services,Digital Marketing Services,Webtech - Digital Marketing Agency,Undri,"208, 2nd Floor, Dynamic Gransdstand, Dynamic Grandeur, office no, Wadachi Wadi Rd, Shree Siddhivinayak Meera, Undri, Pune, Maharashtra",
Business Services,Digital Marketing Services,Designz Factory Advertising & Marketing Agency,Pune,", Pune, Maharashtra",
Business Services,Digital Marketing Services,Rabbito Media,Wakad,"Office no 212, Sonigara Landmark, Near Chatrapati Chowk, Wakad, Pune, Maharashtra - 411057",Wakad
Business Services,Digital Marketing Services,SeoEnhancers,Alandi Road,"Office No - 904, Kate Estate, Dighi - Alandi Rd, near Hotel Rahul Garden, Charholi Budruk, Alandi Road, Pune, Maharashtra",
Business Services,Digital Marketing Services,Technolearn,Parvati,"Technolearn Trainings
133, Peshwa, 2nd Floor, Office No. 09, Near Chaitanya Hospital, Next to Parvati Bridge, Sinhgad Road, Parvati, Pune - 411030., Maharashtra",
Business Services,Digital Marketing Services,paint my nest,Wakad,"PaintMyNest, Friyey Space, First Floor,       Copa Villa,, Wakad, Pune, Maharashtra",Wakad
Business Services,Digital Marketing Services,Oyster Technological Domicile,Kothrud,"The Land Mark Apartments, Sarvatra Society, Anand Nagar, Kothrud, Pune, Maharashtra",Kothrud
Business Services,Digital Marketing Services,Divyacloud Solutions LLP,Aundh,"10,Soormani,DP Road Aundh 411007, Pune, Maharashtra",Aundh
Business Services,Digital Marketing Services,GRASP SOURCING,Karve Nagar,"Flat No.20,Anmol Heights,Near Vitthal Mandir,Karvenagar,Pune - 411052, Karve Nagar, Maharashtra",Karve Nagar
Business Services,Digital Marketing Services,Eternal HighTech,Pune,", Pune, Maharashtra",
Business Services,Internet Marketing Service,MasterMind Web Developers,Talegaon Dabhade,"A-213, Ayush Business Square, Varale, Talegaon Dabhade, Pune, Maharashtra",Talegaon Dabhade
Business Services,Internet Marketing Service,Segmetiq Technologies,Bhosari,"Office No. A-405, Utsav Business Plaza, Pune - Nashik Hwy, near Pritam Hospital, Khandoba Mal, Bhosari, Pune, Pimpri-Chinchwad, Maharashtra",Bhosari
Business Services,Internet Marketing Service,TechMash Worldwide,Warje,"TechMash Worldwide, Office no : 602, 6th Floor, Near Wardham, Warje, Pune, Maharashtra",Warje
Business Services,Internet Marketing Service,ComputoVision,Baner,"Baner, Pune, Maharashtra",Baner
Business Services,Internet Marketing Service,VIDISHA,Baner,"303/2 Westville, Balewadi High St, Pune, Baner, Maharashtra",Baner
Business Services,Internet Marketing Service,SYS Com,Bund Garden,"Connought Place, Besides Wadia Engineering College, Bund Garden Road, Pune, Maharashtra",Bund Garden
Business Services,Internet Marketing Service,Bhingooz Techex Solutions India Pvt. Ltd.,Wakad,"Bhausaheb Kalate Nagar Wakad - Hinjewadi, Pune, Maharashtra",Wakad
Business Services,Internet Marketing Service,"Digitalseed.in - Digital Marketing Agency in Pune, Hyderabad, Latur an",Sinhagad Road,"Anand Nagar, Sinhagad Road, Pune, Maharashtra",Sinhagad Road
Business Services,Internet Marketing Service,BookMyIdentity,Nagar Road,"Office No. 58/59/60, Fourth Floor, Satyam Arcade Wadgaon Sheri, Nagar Road, Ramwadi, Pune, Maharashtra",Nagar Road
Business Services,Internet Marketing Service,digivital solutions,Viman Nagar,"Prakash complex second floor
nagar road viman nagar, Pune, Maharashtra",Viman Nagar
Business Services,Internet Marketing Service,Widefy Digital Marketing Company,Hadapsar,"Office no.302, Shree Siddhi Garden, Behind SBI Bank, Sasane Nagar, Hadapsar, Pune, Maharashtra",Hadapsar
Business Services,Internet Marketing Service,Globalized Dream Digital Pvt. Ltd.,Thergaon,"Bajirao Classic, 
Near Apex Hospital, Thergaon 
411033, Pune, Maharashtra",Thergaon
Business Services,Internet Marketing Service,Digitize Brand,Karve Nagar,"2nd Floor, Office No. 203, 204 Siddharth Hall Near Ranka Jewellers, Behind HP Petrol Pump, Opp to Mahesh Bank, Karve Rd, Nal Stop, Erandwane, Pune, Ma, Karve Nagar, Maharashtra",Karve Nagar
Business Services,Internet Marketing Service,VDMS Vijaya Digital Marketing Solutions,Aundh,"Office – R1, 2nd Floor, InCube Space,

Aundh, Pune, Maharashtra 411007",Aundh
Business Services,Internet Marketing Service,SocioLoca,NIBM Road,"B16,17 GROUND FLOOR MADHU MILAND COMPLEX, NIBM Rd, Pune, Maharashtra 411048rnNIBM Rd, Pune, Maharashtra 411048, NIBM Road",
Business Services,Internet Marketing Service,EyE PunE,Kharadi,"EyE PunE HQ, Kharadi, Maharashtra",Kharadi
Business Services,Internet Marketing Service,Maximus Leads,Shankarsheth Road,"Cybernex, 4th Floor,399, Shankarsheth Road, Pune, Maharashtra",
Business Services,Internet Marketing Service,Rabbito Media,Wakad,"Office no 212, Sonigara Landmark, Near Chatrapati Chowk, Wakad, Pune, Maharashtra - 411057",Wakad
Business Services,Internet Marketing Service,Socnity Media Private Limited,Baner,"s no5 phase || ,Socnity media house, Baner, Pune, Maharashtra",Baner
Business Services,Internet Marketing Service,Yashus Digital Marketing Pvt Ltd,Viman Nagar,"Viman Nagar, Pune, Maharashtra",Viman Nagar
Business Services,Internet Marketing Service,RnD Technosoft,Chinchwad,"Pimpri-chinchwad, Pune, Maharashtra",Chinchwad
Business Services,Internet Marketing Service,Infinite Graphix Technologies,Jm Road,"2nd floor above back of Badoda opposite To to RADOShowroom,, Jm Road, Pune, Maharashtra",Jm Road
Business Services,Internet Marketing Service,Quick Interior,Narhe,"Flat no - D/5, Vaishnavi dham manaji Nagar Narhe, near manaji Nagar Ganpati Mandir, Pune - 411041, Maharashtra",
Business Services,Internet Marketing Service,BrandScript,Jagtap Dairy,"Bhimashankar Bunglow Samartha Colony near jagtap dairy pimple nilakh Pune, Maharashtra 411027",
Business Services,Internet Marketing Service,pooinfotech digital marketing classes,Baner,"Sr. No. 134/5+6, Mhetre Corner, Opposite Ganesh Datta Mandir, Baner, Pune, Maharashtra",Baner
Business Services,Internet Marketing Service,Artalive Mediasoft Pvt. Ltd.,Erandwane,"Survey No 153 Parvati Kunj Office Number 101, Namdev Rukari Path,, Erandwane, Pune, Maharashtra",Erandwane
Business Services,Internet Marketing Service,Digital Shital,City Old,"411046, Pune City Old, Maharashtra",
Business Services,Internet Marketing Service,Aimscript Technologies,Narhe,"104, Sr No 3/21, First Floor, Kanta Heights Opp Savta, Gajanan Maharaj Mandir Rd, Bhumkar Nagar, Narhe ,  411041, Pune, Maharashtra",
Business Services,Internet Marketing Service,Dreams Digital,Thergaon,"Dreams Digital India, Office no 5, first Floor, Bajirao Classic, Near Apex Hospital, Thergaon 411033, Pune, Maharashtra",Thergaon
Business Services,Internet Marketing Service,Sazinga Digital Services,Warje,"313-314, R-Cube Business Center, Atul Nagar, Warje, Pune, Maharashtra, 411058",Warje
Business Services,Project Management,Aircare System & Solution India Pvt. Ltd.,Chikhali,"Shriniwas Gat No 1415 Morewasti Bhaweshwari Thermax Chowk, Chikhali, Pune, Maharashtra",Chikhali
Business Services,Project Management,Platex India,Hadapsar,"A-4/603, C-108, Runwal Seagull Commercial CHS Handewadi Road, Shriram Square, Hadapsar, Pune, Maharashtra",Hadapsar
Business Services,Project Management,SAMARTH TECHNOOLOGIES,Dattawadi,"Vijayashree Coop. Housing Society Ltd. SR. No. 129 Flat B-36 Near Global Hospital, Dattawadi, Pune, Maharashtra",
Business Services,Project Management,Furnilo Interiors,Kharadi,"Office No. 25, Samrudhi Center, Kharadi Bypass, Pune, Maharashtra",Kharadi
Business Services,Project Management,Soham Holidays,Chakan,"Shop No 8, Sudamache pohe bldg, Below Grip GYM Chakan Chowk Office, , , , Pune, Maharashtra",Chakan
Business Services,Project Management,HPKA Engineers Pvt Ltd,Aundh,"A1-1201, Prism, Aundh, Pune, Maharashtra",Aundh
Business Services,Project Management,Vanashree Agriculture Pvt. Ltd.,Hadapsar,"J-116 Mega Center, Magarpatta, Hadapsar, Pune, Maharashtra",Hadapsar
Business Services,Project Management,Sure Embroidery Digitizing,Shivaji Nagar,"Shreenath Plaza, Dnyaneshwar Paduka Chowk, FC Road, Shivajinagar, Shivaji Nagar, Pune, Maharashtra",Shivaji Nagar
Business Services,Project Management,SAS POWERTECH PVT LTD,Baner,"101, Gera’s Regent Manor, Samarth Colony, Behind Malpani Agile Building, Off. Pan Card Club Road, Baner, Pune, Maharashtra",Baner
Business Services,Project Management,TAX RAHI,Magarpatta,"Office No 7, 3rd Floor, B Wing, Destination Center, Hadapsar, Magarpatta, Pune, Maharashtra",Magarpatta
Business Services,Project Management,Trackopath Engineering Services Llp,Ambegaon Budruk,"A-1002 Survey No. 4 18 To 21 Springfield Society Near Navale Bridge Ambegaon BK Pune-411046 Maharashtra India, Ambegaon Budruk",
Business Services,Project Management,Suncon Engineers,Kothrud,"Sai Palace, Near Lohia-Jain IT Park, Bhusari Colony (Right S, Kothrud, Pune, Maharashtra",Kothrud
Business Services,Project Management,Precision Design & Engineering Consultant India,Chinchwad,"G - Block, “M.I.D.C.” Chinchwad, Pune, Maharashtra",Chinchwad
Business Services,Project Management,Anurag Consultancy,Pimpri Chinchwad,,
Business Services,Project Management,Divyacloud Solutions LLP,Aundh,"10,Soormani,DP Road Aundh 411007, Pune, Maharashtra",Aundh
Business Services,Project Management,Acentro Adviser And Consultant,Khed,"Office No. 2/3, Plot No.215/216 Shankara Residency, Ulkanagri Garkheda, Pune, Maharashtra",
Business Services,Project Management,Argan Technology,Baner,"1401, Maruti Millenium towers, Pune Bangalore highway, Nanaware chowk, Baner, Maharashtra",Baner
Business Services,Project Management,SYS Com,Bund Garden,"Connought Place, Besides Wadia Engineering College, Bund Garden Road, Pune, Maharashtra",Bund Garden
Business Services,Project Management,Cosmo World,Shivaji Nagar,"Flat No. A 1/7, 2nd Floor, Bhosale Paradise, Shivaji Nagar, Pune, Maharashtra",Shivaji Nagar
Business Services,Project Management,Vaidika Agro Solutions Pvt Ltd,Kothrud,"A-1, Sundarnagari Apartment, Near Yashwantrao Chavan, Natyagruha, Kothrud, Pune, Maharashtra",Kothrud
Business Services,Project Management,ENSOFA PROJECTS PRIVATE LTD. (ENSOFA GROUP OF COMPANIES),Chinchwad Station,"S.No. 199, Shreyans Apartment, Building No. 01, Flat No. 06 Old Pune Mumbai Highway, Savani Transport Road, Near IDBI Bank, Chinchwad Station, Maharashtra",
Business Services,Project Management,MAHAMUNI & ASSOCIATES,Behind Podar International School,"Flat No 416 Nirman Aura, Behind Podar International School, Pune, Maharashtra",
Business Services,Project Management,S P Software Technologies (i)pvt. Ltd.,Pune,"S P Software Technologies (i) Pvt. Ltd.s. No. 12/6,, Pune, Maharashtra",
Business Services,Project Management,Materials Info consultancy Private Limited,Hadapsar,"Flat Number 603, Milingtonia, Nyati Estate, Mohammadwadi, Hadapsar, Pune, Maharashtra",Hadapsar
Business Services,Project Management,Hifi Tour & Travel  Holidays,Pune,"A/p - Alephata, Taluka - Junnar, , , , Pune, Maharashtra",
Business Services,Project Management,360 Degree Global,Sangamvadi,"62, Anant Bunglow, Opposite Nikam High School, Sangamwadi, Pune, Sangamvadi, Maharashtra",
Business Services,Project Management,Meticulous Business Solutions private Limited,Wakad,"Office no. 402, Pushpak Business Hub, Wakad, Pune, Maharashtra",Wakad
Business Services,Project Management,Speed Engineering Solutions Pvt. Ltd.,Hadapsar,"ESD Ethos, 1st Floor,rn22/3 Hadapsar Industrial EstaternHadapsar, Pune - 411013. Maharashtra.",Hadapsar
Business Services,Project Management,Prasa Sales Pvt Ltd,Kothrud,"001, Sangam Press Road, Kothrud, Pune, Maharashtra",Kothrud
Business Services,Project Management,Neilsoft Ltd,Agarkar Nagar,"Pride Parmar Galaxy 8th Floor 10/10 + a Sadhu Vaswani Chowk, Agarkar Nagar, Pune, Maharashtra",
Business Services,Trade Consultation Service,Magnas Consulting,Bavdhan,"Bramhacorp Vantage Tower-C, 706, Near Kundan Hero Showroom, NDA-Pashan Road, Ramhagar, Bavdhan, Pune, Maharashtra",Bavdhan
Business Services,Trade Consultation Service,ARV Fleetwise International LLP,Pune,"A-203, Dayanand Garden, Opp. Shivarkar Garden, Pune, Maharashtra",
Business Services,Trade Consultation Service,Rahul Enterprise,Mundhwa,"Orchid A/304 Venkatesh Flora, Phase 1, Mundhwa, Pune, Maharashtra",Mundhwa
Business Services,Trade Consultation Service,Abhi Group of Companies,Baner,"16 3rd Floor Primrose the mall Baner, Pune, Maharashtra",Baner
Business Services,Trade Consultation Service,Legal Mind Business Solutions,Pune,"207 B , Madhuban Society , Sinhgad Road, Pune, Maharashtra",
Business Services,Trade Consultation Service,Infinite Exim Solutions,Kothrud,"47/4b, Seoul Society, Building A Flat No- 19, Opposite Gananjay Sabha, Gruha Gandhi Bhawan Road, Kothrud, Pune, Maharashtra",Kothrud
Business Services,Trade Consultation Service,Titanwinds Overseas,Chinchwad,"Mangalam Deep Apartment, B Wing, Flat No.306, Behind Thergaon Dmart, Chinchwad, Pune, Maharashtra",Chinchwad
Business Services,Trade Consultation Service,TAX RAHI,Magarpatta,"Office No 7, 3rd Floor, B Wing, Destination Center, Hadapsar, Magarpatta, Pune, Maharashtra",Magarpatta
Business Services,Trade Consultation Service,Logicare Packaging Pvt Ltd.,Moshi,"Office No. 515, Adi Prime, Opp. Swaraj Capital, Dehu-Moshi Road,, Pune, Maharashtra",Moshi
Business Services,Trade Consultation Service,Samarath Consultancy Services,Bhawani Peth,"B - 203, 2nd Floor, Kalpataru Plaza, Near Bank Of India, Ramoshi Gate, Police Chowki, Bhawani Peth, Pune, Maharashtra",
Business Services,Trade Consultation Service,Shivshakti Engineering,Annapur,"Annapur, Pune, Maharashtra",
Business Services,Trade Consultation Service,ENSOFA PROJECTS PRIVATE LTD. (ENSOFA GROUP OF COMPANIES),Chinchwad Station,"S.No. 199, Shreyans Apartment, Building No. 01, Flat No. 06 Old Pune Mumbai Highway, Savani Transport Road, Near IDBI Bank, Chinchwad Station, Maharashtra",
Business Services,Trade Consultation Service,Tradelink International,Satara Road,"Row House No J 5, Nirant Condominium Kothari Blocks Satara Road Bibwe Wadi, Pune, Maharashtra",Satara Road
Business Services,Trade Consultation Service,Totre Packaging,Bhosari,"Plot No.-248, Sector No.-07, Pcntda, Bhosari, Pune, Maharashtra",Bhosari
Business Services,Trade Consultation Service,Indian Sourcing Agent,Ambegaon Budruk,"Sr. No. 16,, Ambegaon Budruk, Pune, Maharashtra",
Business Services,Trade Consultation Service,MISHAN TRADING AND SERVICES,Salunke Vihar,"A11/3, SALUNKE VIHAR SOCIETY, KONDHWA KHURD, Pune, Maharashtra",
Business Services,Trade Consultation Service,CAS Agrotech and Logistics,Airport Road,"Plot No. 99, Sr No. 33/2, Airport Road, Lane No. 14J, Tingre Nagar, Pune, Maharashtra",
Business Services,Trade Consultation Service,SHREE GANESHA,Rajgurunagar,"Telco Colony No 2, Swastik Apartment, Tinhewadi Road, Rajguru nagar, Pune, Rajgurunagar, Maharashtra",Rajgurunagar
Business Services,Trade Consultation Service,Shree Gajanan Enterprises,Chinchwad,"Office no.624, Swaraj Capital Business Centre, Chinchwad, Pune, Maharashtra",Chinchwad
Business Services,Trade Consultation Service,EXIM MANAGEMENT SERVICES,Deccan Gymkhana,"OFFICE NO.5 ,2ND FLOOR ,ARIHANT BUILDING, KARVE ROAD,411004, Deccan Gymkhana, Pune, Maharashtra",Deccan Gymkhana
Business Services,Trade Consultation Service,Union metal,Pune,", Pune, Maharashtra",
Business Services,Trade Consultation Service,AquaAir Logistics Pvt. Ltd.,Khadki,"Office No.2, Shubham Park Apartments, S.No.87, Alandi Road, Bombay Sappers, Khadki East, Pune, Maharashtra",Khadki
Business Services,Trade Consultation Service,S.S & Associates,Hingne Khurd,"KK HOUSE, ANAND VIHAR SOCIETY-1, 3RD FLOOR, NEAR HINDUSTAN BAKERS, HINGNE KHURD, PUNE-411051, Maharashtra",
Business Services,Trade Consultation Service,Credence Enterprises,Wanowrie,"Survey no 53, 2/1, Anchor Appts, Wanowrie, Pune, Maharashtra",
Business Services,Trade Consultation Service,Bee Gee,Mangalwar Peth,"Shop No. 1 To 4, Akshay Appartment, Barne Road, Mangalwar Peth, Pune, Maharashtra",
Business Services,Trade Consultation Service,Unico Exim Services Pvt. Ltd.,Dhankwadi,"Office No. 40, C-wing, 6th Floor, K.k.market, Dhankawadi, Pune- 411037, Dhankwadi, Maharashtra",
Business Services,Trade Consultation Service,shree masale,Ashok Nagar,", Ashok Nagar, Pune, Maharashtra",
Business Services,Trade Consultation Service,TEMGIRE Consultancy Services Pvt Limited,Pimple,"103, Chandrang Silver, Near Chandrasi Garden, Jawalkar Nagar, Pimple Gurav, Pune, Maharashtra",
Business Services,Trade Consultation Service,LogisticsJunction,Shankarsheth Road,"214, Poornima Towers, Shankar Sheth Road, Pune-411037 (India), Shankarsheth Road, Maharashtra",
Business Services,Trade Consultation Service,tecoserve,Kothrud,"10/303, sargam park, gujrath colony, vanaz corner, paud road, kothrud, pune , maharasthra, Maharashtra",Kothrud
Business Services,Export Consultants,ARV Fleetwise International LLP,Pune,"A-203, Dayanand Garden, Opp. Shivarkar Garden, Pune, Maharashtra",
Business Services,Export Consultants,Tradelink International,Satara Road,"Row House No J 5, Nirant Condominium Kothari Blocks Satara Road Bibwe Wadi, Pune, Maharashtra",Satara Road
Business Services,Export Consultants,Totre Packaging,Bhosari,"Plot No.-248, Sector No.-07, Pcntda, Bhosari, Pune, Maharashtra",Bhosari
Business Services,Export Consultants,Logicare Packaging Pvt Ltd.,Moshi,"Office No. 515, Adi Prime, Opp. Swaraj Capital, Dehu-Moshi Road,, Pune, Maharashtra",Moshi
Business Services,Export Consultants,Infinite Exim Solutions,Kothrud,"47/4b, Seoul Society, Building A Flat No- 19, Opposite Gananjay Sabha, Gruha Gandhi Bhawan Road, Kothrud, Pune, Maharashtra",Kothrud
Business Services,Export Consultants,Samarath Consultancy Services,Bhawani Peth,"B - 203, 2nd Floor, Kalpataru Plaza, Near Bank Of India, Ramoshi Gate, Police Chowki, Bhawani Peth, Pune, Maharashtra",
Business Services,Export Consultants,Titanwinds Overseas,Chinchwad,"Mangalam Deep Apartment, B Wing, Flat No.306, Behind Thergaon Dmart, Chinchwad, Pune, Maharashtra",Chinchwad
Business Services,Export Consultants,Indian Sourcing Agent,Ambegaon Budruk,"Sr. No. 16,, Ambegaon Budruk, Pune, Maharashtra",
Business Services,Export Consultants,TAX RAHI,Magarpatta,"Office No 7, 3rd Floor, B Wing, Destination Center, Hadapsar, Magarpatta, Pune, Maharashtra",Magarpatta
Business Services,Export Consultants,Shivshakti Engineering,Annapur,"Annapur, Pune, Maharashtra",
Business Services,Export Consultants,ENSOFA PROJECTS PRIVATE LTD. (ENSOFA GROUP OF COMPANIES),Chinchwad Station,"S.No. 199, Shreyans Apartment, Building No. 01, Flat No. 06 Old Pune Mumbai Highway, Savani Transport Road, Near IDBI Bank, Chinchwad Station, Maharashtra",
Business Services,Export Consultants,MISHAN TRADING AND SERVICES,Salunke Vihar,"A11/3, SALUNKE VIHAR SOCIETY, KONDHWA KHURD, Pune, Maharashtra",
Business Services,Export Consultants,Legal Mind Business Solutions,Pune,"207 B , Madhuban Society , Sinhgad Road, Pune, Maharashtra",
Business Services,Export Consultants,Abhi Group of Companies,Baner,"16 3rd Floor Primrose the mall Baner, Pune, Maharashtra",Baner
Business Services,Export Consultants,Rahul Enterprise,Mundhwa,"Orchid A/304 Venkatesh Flora, Phase 1, Mundhwa, Pune, Maharashtra",Mundhwa
Business Services,Export Consultants,CAS Agrotech and Logistics,Airport Road,"Plot No. 99, Sr No. 33/2, Airport Road, Lane No. 14J, Tingre Nagar, Pune, Maharashtra",
